147 1.9 JTD;2005-;937A5000;412858;H;460785;460762;A;tyhja
147 GTA 3.2 V6;2005-;932A000;412828;H;460785;460762;A;tyhja
147 T.SPARK 1.6;2001-;AR32104;411437;H;460785;460762;A;tyhja
147 T.SPARK 2.0;2001-;AR32310;411437;H;460785;460762;A;tyhja
155 2.0;1992-1996;;411715;;460785;460760;A;tyhja
156 1.9 JTD;2004-;192A5000;412858;H;460785;460762;A;tyhja
156 2.0 JTS;2002-;937A1000;411701;;460785;460766;A;tyhja
156 2.4 JTD;1998-;;411428;H;460785;460762;A;tyhja
156 2.4 JTD;2005-;;412877;H;460785;460762;A;tyhja
156 2.5 V6;;;411422;;460785;460762;A;tyhja
156 GTA 3.2 V6;2002-;;412828;H;460785;460762;A;tyhja
156 T.SPARK 1.6, 1.8;1998-;;411437;H;460785;460760;A;tyhja
156 T.SPARK 2.0;1997-;;411437;H;460785;460762;A;tyhja
159 1.9 JTDm;2006-2009;939A2000;413833;H;460785;460766;A;tyhja
159 1.9 JTDm;2011-;939A1000;413833;H;460785;460766;A;tyhja
159 1.9 JTS;2006-;939A6000;413810;F;460785;460766;A;tyhja
159 1750 TBI;2009-;939B1000;413887+460527;H;460785;460766;A;tyhja
159 2.0 JTDm;2009-;938B3000;413887;H;460785;460766;A;tyhja
159 2.2 JTS;2006-;939A5000;413810;F;460785;460766;A;tyhja
159 2.4 JTDm;2006-;939A3000;413815;H;460785;460766;A;tyhja
159 2.4 JTDm;2008-;939A9000;413815;H;460785;460766;A;tyhja
159 2.4 JTDm Q4;2008-;939A3000;413815+460502;H;460785;460766;A;tyhja
159 3.2 V6;2007-;939A000;411788+460480;;460785;460768;C;tyhja
166 2.0 T V6;1999-;;411422;;460785;460768;A;tyhja
166 2.0 T.SPARK;2004-;;411422;;460785;460766;A;tyhja
166 2.5 V6;2004-;;412828;H;460785;460762;A;tyhja
166 3.0 V6;1998-2003;;411422;;460785;460762;A;tyhja
166 3.0 V6;2004-;;412828;H;460785;460762;A;tyhja
166 T.SPARK;1998-;;411422;;460785;460762;A;tyhja
33;1987-1994;;411102;C2;460785;460762;A;tyhja
33 1.7 16V;1987-1994;;411102;C2;460785;460762;A;tyhja
ALFA 145 1.4, 1.6;1994-1996;;411102;C2;460785;460762;A;tyhja
ALFA 155 T.SPARK 16V;1992-1996;AR67204;411422;;460785;460762;A;tyhja
ALFA 164 3.0 V6;;;411420;;460785;460762;A;tyhja
ALFA 164 T.SPARK 2.0;-1993;;411420;;460785;460762;A;411412
ALFA 75;1985-1990;;411420;;460785;460760;A;411412
ALFA 75 3.0 V6;-1993;;411715+460310;;460785;460762;B;tyhja
ALFA 75 T.SPARK;-1993;;411420;;460785;460760;A;tyhja
ALFA 90 2.5 V6;1983-1987;;411715+460310;;460785;460762;B;tyhja
ALFA GT 2.0 JTS;2005-;937A1000;411701;;460785;460766;B;tyhja
ALFA GT 3.2 V6;2005-;936A000;412828;H;460785;460762;A;tyhja
ALFASUD SPRINT;-1978;;411102;C2;460785;460762;A;tyhja
